frames,algorithm,page_faults,disk_reads,disk_writes,fault_rate,events_in_trace,trace
1024,clock,2901,2901,809,0.29,1000000,swim
16,rand,144354,144354,31956,14.44,1000000,sixpack
32,rand,88903,88903,19409,8.89,1000000,sixpack
48,rand,65579,65579,15138,6.5600000000000005,1000000,sixpack
64,rand,51728,51728,12707,5.17,1000000,sixpack
96,rand,37086,37086,10020,3.71,1000000,sixpack
128,rand,29006,29006,8547,2.9000000000000004,1000000,sixpack
192,rand,20441,20441,6601,2.04,1000000,sixpack
256,rand,15765,15765,5402,1.58,1000000,sixpack
384,rand,11084,11084,4164,1.11,1000000,sixpack
512,rand,8902,8902,3475,0.89,1000000,sixpack
768,rand,6873,6873,2768,0.69,1000000,sixpack
1024,rand,5958,5958,2412,0.6,1000000,sixpack
16,lru,108682,108682,19342,10.870000000000001,1000000,sixpack
32,lru,67747,67747,13730,6.77,1000000,sixpack
48,lru,53807,53807,10873,5.38,1000000,sixpack
64,lru,41186,41186,9672,4.12,1000000,sixpack
96,lru,26313,26313,7920,2.63,1000000,sixpack
128,lru,21090,21090,6526,2.11,1000000,sixpack
192,lru,13913,13913,4849,1.39,1000000,sixpack
256,lru,11240,11240,4092,1.1199999999999999,1000000,sixpack
384,lru,7093,7093,2873,0.7100000000000001,1000000,sixpack
512,lru,5823,5823,2444,0.58,1000000,sixpack
768,lru,4898,4898,2092,0.49,1000000,sixpack
1024,lru,4468,4468,1846,0.44999999999999996,1000000,sixpack
16,clock,115206,115206,20951,11.52,1000000,sixpack
32,clock,70849,70849,14432,7.08,1000000,sixpack
48,clock,56243,56243,11490,5.62,1000000,sixpack
64,clock,41949,41949,9947,4.19,1000000,sixpack
96,clock,28219,28219,8443,2.82,1000000,sixpack
128,clock,23229,23229,7226,2.32,1000000,sixpack
192,clock,14958,14958,5146,1.5,1000000,sixpack
256,clock,11876,11876,4319,1.1900000000000002,1000000,sixpack
384,clock,7560,7560,3069,0.76,1000000,sixpack
512,clock,6119,6119,2587,0.61,1000000,sixpack
768,clock,5055,5055,2151,0.51,1000000,sixpack
1024,clock,4618,4618,1937,0.45999999999999996,1000000,sixpack
